Price,Region,Postal Code,Baths,Beds,Sqft,Lot Size,Year Built
150000,MI,48038,2,3,1200,0.25 acres,1980
200000,MI,48038,3,2,1500,0.3 acres,1990
250000,MI,48038,4,3,2000,0.5 acres,2000
300000,MI,48038,5,4,2500,1 acre,2010
350000,MI,48038,6,5,3000,1.5 acres,2020
400000,MI,48038,7,6,3500,2 acres,2030
450000,MI,48038,8,7,4000,2.5 acres,2040
500000,MI,48038,9,8,4500,3 acres,2050
550000,MI,48038,10,9,5000,3.5 acres,2060
600000,MI,48038,11,10,5500,4 acres,2070
650000,MI,48038,12,11,6000,4.5 acres,2080
700000,MI,48038,13,12,6500,5 acres,2090
750000,MI,48038,14,13,7000,5.5 acres,2100
800000,MI,48038,15,14,7500,6 acres,2110
850000,MI,48038,16,15,8000,6.5 acres,2120
900000,MI,48038,17,16,8500,7 acres,2130
950000,MI,48038,18,17,9000,7.5 acres,2140
1000000,MI,48038,19,18,9500,8 acres,2150
1050000,MI,48038,20,19,10000,8.5 acres,2160
1100000,MI,48038,21,20,10500,9 acres,2170
1150000,MI,48038,22,21,11000,9.5 acres,2180
1200000,MI,48038,23,22,11500,10 acres,2190
1250000,MI,48038,24,23,12000,10.5 acres,2200
1300000,MI,48038,25,24,12500,11 acres,2210
99900,MI,48201,2,2,1100,0.25,1980
95000,MI,48202,1,1,900,0.2,1990
90000,MI,48203,1,1,700,0.15,2000
85000,MI,48204,2,1,1000,0.2,1995
80000,MI,48205,3,2,1200,0.25,2000
75000,MI,48206,2,1,900,0.15,1985
70000,MI,48207,1,1,700,0.1,1970
65000,MI,48208,2,1,1000,0.2,1980
60000,MI,48209,3,2,1200,0.25,1990
55000,MI,48210,2,1,900,0.15,1975
50000,MI,48211,1,1,700,0.1,1960
45000,MI,48212,2,1,1000,0.2,1970
40000,MI,48213,3,2,1200,0.25,1980
35000,MI,48214,2,1,900,0.15,1965
30000,MI,48215,1,1,700,0.1,1950
199900,MI,48038,2,3,1100,0.25,1980
195000,MI,48043,1,1,900,0.2,1990
190000,MI,48055,1,1,700,0.15,2000
185000,MI,48054,2,1,1000,0.2,1995
180000,MI,48060,3,2,1200,0.25,2000
175000,MI,48066,2,1,900,0.15,1985
170000,MI,48069,1,1,700,0.1,1970
165000,MI,48076,2,1,1000,0.2,1980
160000,MI,48081,3,2,1200,0.25,1990
155000,MI,48085,2,1,900,0.15,1975
150000,MI,48089,1,1,700,0.1,1960
145000,MI,48093,2,1,1000,0.2,1970
140000,MI,48097,3,2,1200,0.25,1980
135000,MI,48112,2,1,900,0.15,1965
130000,MI,48114,1,1,700,0.1,1950
199900,TX,77007,2,3,1100,0.25,1980
195000,TX,77055,1,1,900,0.2,1990
190000,TX,77002,1,1,700,0.15,2000
185000,TX,77036,2,1,1000,0.2,1995
180000,TX,77098,3,2,1200,0.25,2000
175000,TX,77082,2,1,900,0.15,1985
170000,TX,77024,1,1,700,0.1,1970
165000,TX,77008,2,1,1000,0.2,1980
160000,TX,77059,3,2,1200,0.25,1990
155000,TX,77006,2,1,900,0.15,1975
150000,TX,77001,1,1,700,0.1,1960
145000,TX,77027,2,1,1000,0.2,1970
140000,TX,77090,3,2,1200,0.25,1980
135000,TX,77089,2,1,900,0.15,1965
130000,TX,77088,1,1,700,0.1,1950
95000,TX,77081,2,1,900,0.2,2000
90000,TX,77080,3,2,1100,0.25,2000
75000,TX,77077,2,1,900,0.2,2000
70000,TX,77076,3,2,1100,0.25,2000
400000,TX,75206,3,4,2000,0.25,2005
350000,TX,75202,2,3,1500,0.15,2005
300000,TX,75254,2,2,1200,0.1,2005
250000,TX,75225,3,3,1000,0.2,2005
