price,region,postal_code,baths,beds,sqft,lot_size,year_built
405000,NY,11354,1,2,-,,1950
466995,OR,97756,2,4,"1,979",,2021
1175000,MO,63069,5,4,"5,231",5.02,2005
484900,TN,37110,2.5,3,"2,238",1.2,2018
317077,DE,19963,2.5,3,"1,571",0.07,2021
1041250,MA,1519,2.5,4,"4,421",0.32,2015
225900,AL,35016,2,3,"1,561",2.5,1966
555821,GA,30107,2.5,4,"2,753",0.27,2022
587659,CO,80104,2,4,"1,740",0.18,2021
995000,AZ,85935,4,6,"3,508",0.21,1997
145590,KY,41040,2,3,"1,920",0.21,2004
892404,CA,95949,3,4,"3,307",11.57,2003
1650000,MN,55424,5,5,"4,400",0.15,2023
875000,VA,24134,5,4,"3,990",34.79,1994
778517,TX,77304,3,5,"3,189",1.24,2023
790005,OR,97760,2,3,"1,844",5.6,2001
495000,AR,72223,-,,-,,
106000,PA,18508,1,1,800,,
370000,KY,40223,2,3,"2,304",,
184900,WI,54914,1.5,2,"1,314",,
489900,IL,60610,2,2,"1,550",,
899000,CA,95949,3,4,"3,307",11.57,2003
139000,OH,45344,1,3,925,0.06,1955
320000,PA,19148,1.5,4,"1,400",0.644,1920
465501,GA,30107,2.5,4,"2,753",0.27,2022
324000,AL,36602,2,2,"1,330",,1908
240950,TX,79928,3,4,"1,687",0.54,2022
466995,OR,97756,2,4,"1,979",0.61,2021
1299000,NY,11209,1.5,3,"1,842",0.18,1920
599000,OH,45404,2,3,"1,200",0.27,1900
150000,PA,19607,1,2,2,0.47,1890
299000,TX,75219,2,2,"1,178",0.45,1953
